id;algorithm;vertices;execution_time;operation_count;total_cost
6;Prim;229;13;765;10925
6;Kruskal;229;3;2367;6629
7;Prim;49;0;190;2240
7;Kruskal;49;0;329;1371
8;Prim;150;0;558;6485
8;Kruskal;150;1;1376;3779
9;Prim;46;0;159;2053
9;Kruskal;46;0;351;1267
10;Prim;85;0;313;4184
10;Kruskal;85;0;857;2656
11;Prim;152;0;525;6380
11;Kruskal;152;0;1373;4395
12;Prim;118;0;422;5471
12;Kruskal;118;0;1154;4037
13;Prim;185;0;625;9148
13;Kruskal;185;1;1972;4751
14;Prim;112;0;387;5075
14;Kruskal;112;0;1147;3293
15;Prim;35;0;133;1410
15;Kruskal;35;0;307;966
